mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_27,78.928,0.087125,ok,0,
300,run_28,36.164,0.048171,ok,0,
400,run_29,18.104,0.023598,ok,0,
500,run_30,9.7247,0.01175,ok,0,
600,run_31,5.5526,0.0074236,ok,0,
700,run_32,3.3228,0.0043755,ok,0,
800,run_33,2.0603,0.002783,ok,0,
900,run_34,1.324,0.0016487,ok,0,
1000,run_35,0.87287,0.00112,ok,0,
1100,run_36,0.58947,0.00075933,ok,0,
1200,run_37,0.40519,0.00055444,ok,0,
1300,run_38,0.28372,0.0003546,ok,0,
1400,run_39,0.20182,0.00024395,ok,0,
