mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_15,46.396,0.075903,ok,0,
300,run_16,23.727,0.0346,ok,0,
400,run_17,13.279,0.028449,ok,0,
500,run_18,8.0046,0.01882,ok,0,
600,run_19,5.1113,0.013625,ok,0,
700,run_20,3.4131,0.0097478,ok,0,
800,run_21,2.3633,0.005894,ok,0,
900,run_22,1.7,0.0047898,ok,0,
1000,run_23,1.2488,0.0041548,ok,0,
1100,run_24,0.93297,0.0027674,ok,0,
1200,run_25,0.71788,0.0022622,ok,0,
1300,run_26,0.55632,0.0015061,ok,0,
1400,run_27,0.44111,0.0010739,ok,0,
