mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_53,656.08,0.84313,ok,0,
300,run_54,631.17,0.69607,ok,0,
400,run_55,621.24,0.73483,ok,0,
500,run_56,616.96,0.67006,ok,0,
600,run_57,614.69,0.79693,ok,0,
700,run_58,612.44,0.77139,ok,0,
800,run_59,612.75,0.62707,ok,0,
900,run_60,611.61,0.77471,ok,0,
1000,run_61,612.88,0.74746,ok,0,
1100,run_62,611.74,0.72959,ok,0,
1200,run_63,612.39,0.63535,ok,0,
1300,run_64,612.3,0.73181,ok,0,
1400,run_65,612.16,0.83217,ok,0,
