mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,613.35,0.79527,ok,0,
300,run_02,614.65,0.68756,ok,0,
400,run_03,614.43,0.78058,ok,0,
500,run_04,614.67,0.57393,ok,0,
600,run_05,614.08,0.68472,ok,0,
700,run_06,613.69,0.81566,ok,0,
800,run_07,613.72,0.70784,ok,0,
900,run_08,613.3,0.51515,ok,0,
1000,run_09,614.06,0.60351,ok,0,
1100,run_10,614.17,0.76029,ok,0,
1200,run_11,613.84,0.68348,ok,0,
1300,run_12,614.33,0.71271,ok,0,
1400,run_13,613.23,0.40546,ok,0,
