mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_27,613.64,0.65678,ok,0,
300,run_28,612.49,0.58967,ok,0,
400,run_29,612.8,0.79879,ok,0,
500,run_30,612.62,0.76215,ok,0,
600,run_31,613.21,0.80018,ok,0,
700,run_32,612.72,0.68519,ok,0,
800,run_33,612.99,0.78125,ok,0,
900,run_34,613.35,0.71501,ok,0,
1000,run_35,613.08,0.68138,ok,0,
1100,run_36,612.65,0.64484,ok,0,
1200,run_37,613.42,0.68313,ok,0,
1300,run_38,613.48,0.80377,ok,0,
1400,run_39,614.61,0.70373,ok,0,
