mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,0.21953,0.00033473,ok,0,
300,run_02,0.06306,0.00010855,ok,0,
400,run_03,0.020388,3.8804e-05,ok,0,
500,run_04,0.0073449,1.1463e-05,ok,0,
600,run_05,0.0028914,3.6351e-06,ok,0,
700,run_06,0.0012192,2.2567e-06,ok,0,
800,run_07,0.0005427,1.0171e-06,ok,0,
900,run_08,0.00025291,5.5019e-07,ok,0,
1000,run_09,0.00012157,2.6515e-07,ok,0,
1100,run_10,6.0586e-05,1.0228e-07,ok,0,
1200,run_11,3.0836e-05,8.8332e-08,ok,0,
1300,run_12,1.5955e-05,3.7462e-08,ok,0,
1400,run_13,8.4219e-06,2.7821e-08,ok,0,
