mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_27,784.01,1.4527,ok,0,
300,run_28,637.23,1.0997,ok,0,
400,run_29,557.31,0.844,ok,0,
500,run_30,467.96,0.77303,ok,0,
600,run_31,377.26,0.704,ok,0,
700,run_32,294.19,0.52312,ok,0,
800,run_33,227.86,0.39983,ok,0,
900,run_34,176.0,0.43532,ok,0,
1000,run_35,135.9,0.22716,ok,0,
1100,run_36,106.01,0.21083,ok,0,
1200,run_37,82.401,0.2202,ok,0,
1300,run_38,64.385,0.18243,ok,0,
1400,run_39,50.909,0.11773,ok,0,
