mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,16.719,0.02585,ok,0,
300,run_02,7.3073,0.0089238,ok,0,
400,run_03,3.494,0.0040906,ok,0,
500,run_04,1.8016,0.0016066,ok,0,
600,run_05,0.98709,0.0013851,ok,0,
700,run_06,0.56765,0.00075255,ok,0,
800,run_07,0.33914,0.00037464,ok,0,
900,run_08,0.21024,0.00027269,ok,0,
1000,run_09,0.13389,0.00014503,ok,0,
1100,run_10,0.086987,0.00011407,ok,0,
1200,run_11,0.057865,5.2254e-05,ok,0,
1300,run_12,0.039124,3.7025e-05,ok,0,
1400,run_13,0.026901,3.1371e-05,ok,0,
