mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_14,3.562e-06,6.9209e-09,ok,0,
300,run_15,1.7821e-06,3.1464e-09,ok,0,
400,run_16,9.7738e-07,2.0611e-09,ok,0,
500,run_17,5.7697e-07,1.431e-09,ok,0,
600,run_18,3.6082e-07,9.2768e-10,ok,0,
700,run_19,2.3722e-07,7.7902e-10,ok,0,
800,run_20,1.619e-07,4.2076e-10,ok,0,
900,run_21,1.1392e-07,3.0138e-10,ok,0,
1000,run_22,8.2938e-08,1.7408e-10,ok,0,
1100,run_23,6.174e-08,1.9445e-10,ok,0,
1200,run_24,4.6592e-08,1.5732e-10,ok,0,
1300,run_25,3.6034e-08,8.4109e-11,ok,0,
1400,run_26,2.7964e-08,8.3241e-11,ok,0,
