mass,tanphi,width,total width/mass,primary decay channel,primary decay branching,second decay channel,second decay branching,third decay channel,third decay branching,fourth decay channel,fourth decay branching
2.000000e+02,1.000000e-02,2.025292e+01,0.1012646,c t~,3.283383e-01,t c~,3.283383e-01,c c~,3.146581e-01,u t~,1.433204e-02
2.000000e+02,2.782559e-02,2.618187e+00,0.013090935,c t~,3.284772e-01,t c~,3.284772e-01,c c~,3.143680e-01,t u~,1.433811e-02
2.000000e+02,7.742637e-02,3.405788e-01,0.001702894,t c~,3.295479e-01,c t~,3.295479e-01,c c~,3.121333e-01,u t~,1.438484e-02
2.000000e+02,2.154435e-01,4.646968e-02,0.0002323484,c t~,3.375161e-01,t c~,3.375161e-01,c c~,2.955012e-01,u t~,1.473266e-02
2.000000e+02,5.994843e-01,8.911112e-03,4.455556e-05,t c~,3.836344e-01,c t~,3.836344e-01,c c~,1.992390e-01,t u~,1.674573e-02
2.000000e+02,1.668101e+00,7.366884e-03,3.683442e-05,c t~,4.640510e-01,t c~,4.640510e-01,c c~,3.138589e-02,t u~,2.025593e-02
2.000000e+02,4.641589e+00,3.276960e-02,0.000163848,t c~,4.786227e-01,c t~,4.786227e-01,u t~,2.089199e-02,t u~,2.089199e-02
2.000000e+02,1.291550e+01,2.342788e-01,0.001171394,c t~,4.790748e-01,t c~,4.790748e-01,t u~,2.091172e-02,u t~,2.091172e-02
2.000000e+02,3.593814e+01,1.795114e+00,0.00897557,t c~,4.790863e-01,c t~,4.790863e-01,t u~,2.091223e-02,u t~,2.091223e-02
2.000000e+02,1.000000e+02,1.388017e+01,0.06940085,c t~,4.790870e-01,t c~,4.790870e-01,u t~,2.091226e-02,t u~,2.091226e-02
2.222222e+02,1.000000e-02,4.367785e+01,0.196550344655,c t~,4.014371e-01,t c~,4.014371e-01,c c~,1.621174e-01,u t~,1.750386e-02
2.222222e+02,2.782559e-02,5.647591e+00,0.0254141620414,c t~,4.015247e-01,t c~,4.015247e-01,c c~,1.619347e-01,t u~,1.750768e-02
2.222222e+02,7.742637e-02,7.358106e-01,0.00331114803111,c t~,4.021977e-01,t c~,4.021977e-01,c c~,1.605298e-01,u t~,1.753703e-02
2.222222e+02,2.154435e-01,1.015755e-01,0.000457089795709,c t~,4.071412e-01,t c~,4.071412e-01,c c~,1.502119e-01,u t~,1.775257e-02
2.222222e+02,5.994843e-01,2.078689e-02,9.35410143541e-05,t c~,4.336402e-01,c t~,4.336402e-01,c c~,9.490321e-02,t u~,1.890801e-02
2.222222e+02,1.668101e+00,1.907105e-02,8.5819733582e-05,t c~,4.726552e-01,c t~,4.726552e-01,t u~,2.060918e-02,u t~,2.060918e-02
