m,tanphi,Z_A_450fb,Z_A_3000fb
180,0.225,1.941996,5.014211
180,0.24536423985,1.676634,4.329051
180,0.267571600876,1.502912,3.880503
180,0.318198051534,1.041917,2.690217
180,0.45,0.750512,1.937814
180,0.9,0.722055,1.864338
180,1.0525,0.763238,1.970673
180,1.4884597744,1.323089,3.416202
180,1.62317689374,1.660312,4.286908
180,1.77008695411,1.752600,4.525194
180,2.105,2.205255,5.693945
220,0.24,4.118709,10.634462
220,0.33941125497,2.577032,6.653869
220,0.403630279322,2.014574,5.201608
220,0.440161940738,1.663129,4.294181
220,0.48,1.526599,3.941662
220,1.225,1.015554,2.622149
220,1.73241161391,1.480624,3.822954
220,2.06019621737,1.513534,3.907928
220,2.1053086402,1.667582,4.305679
220,2.15140889646,1.902975,4.913460
220,2.24665990585,1.870581,4.829819
220,2.45,2.322436,5.996503
260,0.22,4.432205,11.443903
260,0.311126983722,2.488515,6.425319
260,0.369994422712,1.855708,4.791417
260,0.40348177901,1.661926,4.291075
260,0.44,1.354956,3.498482
260,1.735,1.041515,2.689181
260,2.45366053072,1.630158,4.209051
260,3.47,2.887516,7.455535
300,0.2015,4.444902,11.476688
300,0.284964032818,2.082831,5.377846
300,0.338881255347,1.630840,4.210811
300,0.403,1.211992,3.129350
300,11.7,17.005382,43.907707
300,2.925,1.419564,3.665298
300,3.47843081138,1.688257,4.359062
300,4.13657466994,2.504236,6.465909
300,5.85,4.150169,10.715689
340,0.165,4.964773,12.818989
340,0.233345237792,2.334425,6.027459
340,0.277495817034,1.894065,4.890454
340,0.289781606462,1.615804,4.171988
340,0.302611334258,1.522655,3.931479
340,0.33,1.357804,3.505836
340,10.8,1.262737,3.260373
340,11.7774835128,1.560577,4.029393
340,12.843436842,2.237424,5.777004
340,15.2735064736,2.927969,7.559985
340,21.6,7.825777,20.206068
380,0.14,4.479761,11.566694
380,0.197989898732,1.835758,4.739906
380,0.202325312976,1.579659,4.078662
380,0.206755660431,1.301476,3.360396
380,0.215909515557,1.343336,3.468479
380,0.235450996271,0.976703,2.521837
380,0.28,0.510660,1.318520
420,0.1,7.029724,18.150668
420,0.141421356237,3.219886,8.313711
420,0.168179283051,2.076054,5.360349
420,0.183400808641,1.559405,4.026365
420,0.2,1.288116,3.325902
460,0.09,6.900179,17.816185
460,0.127279220614,3.127480,8.075118
460,0.151361354746,2.313395,5.973161
460,0.165060727777,1.684498,4.349356
460,0.18,1.511180,3.901851
500,0.0825,7.135720,18.424350
500,0.116672618896,3.043119,7.857299
500,0.138747908517,2.152733,5.558333
500,0.151305667129,1.697874,4.383892
500,0.165,1.489214,3.845135
540,0.0755,6.926598,17.884399
540,0.106773123959,3.126847,8.073484
540,0.126975358703,1.981719,5.116777
540,0.138467610524,1.902648,4.912616
540,0.141499656376,1.742951,4.500281
540,0.144598095386,1.480486,3.822598
540,0.151,1.394013,3.599326
580,0.0707,5.904962,15.246546
580,0.0999848988598,3.084170,7.963292
580,0.118902753117,2.009795,5.189268
580,0.129664371709,1.721252,4.444254
580,0.1414,1.285667,3.319578
620,0.0645,5.858191,15.125784
620,0.0912167747731,2.891723,7.466397
620,0.108475637568,1.987020,5.130463
620,0.118293521574,1.590012,4.105394
620,0.129,1.365754,3.526361
660,0.059,6.030170,15.569832
660,0.08343860018,3.040216,7.849805
660,0.0992257769999,2.133272,5.508086
660,0.108206477098,1.830739,4.726947
660,0.112997187122,1.554629,4.014034
660,0.118,1.398435,3.610745
700,0.056,5.267323,13.600171
700,0.0791959594929,2.794707,7.215901
700,0.0941803985084,1.779478,4.594593
700,0.0983501209809,1.671717,4.316354
700,0.102704452839,1.539262,3.974358
700,0.112,1.214524,3.135888
740,0.049,6.177769,15.950932
740,0.0692964645563,2.993742,7.729809
740,0.0824078486949,2.070029,5.344791
740,0.0898663962341,1.778419,4.591859
740,0.0908449771291,1.653782,4.270047
740,0.0918342140714,1.532080,3.955813
740,0.0938451215085,1.447047,3.736258
740,0.098,1.384866,3.575709
780,0.0454,5.661917,14.619006
780,0.0642052957317,2.814843,7.267893
780,0.076353394505,1.938992,5.006455
780,0.0797338480809,1.785822,4.610972
780,0.0814797920051,1.760808,4.546387
780,0.0823670487677,1.704030,4.399787
780,0.083263967123,1.456779,3.761386
780,0.0908,1.298836,3.353580
820,0.041,5.847256,15.097549
820,0.0579827560573,2.935385,7.579131
820,0.0689535060508,2.033497,5.250467
820,0.0751943315428,1.715963,4.430598
820,0.082,1.320102,3.408489
860,0.0375,5.863115,15.138498
860,0.053033008589,2.707935,6.991857
860,0.063067231144,1.851049,4.779389
860,0.0687753032403,1.639257,4.232543
860,0.075,1.335732,3.448846
900,0.034,6.452131,16.659330
900,0.0480832611207,2.812011,7.260580
900,0.0571809562373,2.002884,5.171425
900,0.0623562749379,1.658941,4.283367
900,0.068,1.405887,3.629984
940,0.031,6.416220,16.566609
940,0.0438406204336,2.964538,7.654404
940,0.0521355777458,1.986799,5.129893
940,0.0568542506787,1.638448,4.230455
940,0.062,1.446530,3.734924
980,0.028,6.877420,17.757422
980,0.0395979797464,3.175453,8.198985
980,0.0470901992542,1.924323,4.968581
980,0.0513522264195,1.776498,4.586897
980,0.0536257837191,1.599034,4.128688
980,0.056,1.457817,3.764067
