m | tanphi | Z_A_450fb | Z_A_3000fb
180 | 0.01 | 2008.080716 | 5184.842114
180 | 0.1 | 47.897920 | 123.671896
180 | 1 | 2.332638 | 6.022846
180 | 10 | 47.540520 | 122.749094
180 | 100 | 1992.077922 | 5143.523078
200 | 1 | 1.850894 | 4.778988
210 | 1 | 1.678135 | 4.332926
220 | 1 | 1.574299 | 4.064823
222.5 | 0.01 | 1649.849996 | 4259.894371
222.5 | 0.1 | 33.387470 | 86.206076
222.5 | 1 | 1.574299 | 4.064823
222.5 | 10 | 32.927938 | 85.019571
222.5 | 100 | 1674.173237 | 4322.696711
225 | 0.8 | 1.608926 | 4.154230
225 | 1.2 | 1.591615 | 4.109531
230 | 1 | 1.504999 | 3.885891
235 | 0.6 | 1.833635 | 4.734425
235 | 0.9 | 1.487665 | 3.841134
235 | 1.1 | 1.470327 | 3.796367
235 | 1.8 | 1.937133 | 5.001656
240 | 0.5 | 2.195292 | 5.668221
240 | 0.7 | 1.522330 | 3.930639
240 | 1 | 1.383578 | 3.572383
240 | 1.5 | 1.608926 | 4.154230
240 | 2 | 2.143727 | 5.535080
245 | 0.6 | 1.712717 | 4.422216
245 | 0.9 | 1.366217 | 3.527557
245 | 1.1 | 1.296734 | 3.348153
245 | 1.8 | 1.799106 | 4.645271
250 | 0.8 | 1.331483 | 3.437875
250 | 1 | 1.244582 | 3.213496
250 | 1.2 | 1.314111 | 3.393019
255 | 0.6 | 1.556980 | 4.020105
255 | 0.9 | 1.227190 | 3.168590
255 | 1.1 | 1.209794 | 3.123675
255 | 1.8 | 1.712717 | 4.422216
260 | 0.5 | 1.816372 | 4.689853
260 | 0.7 | 1.383578 | 3.572383
260 | 1 | 1.192394 | 3.078749
260 | 1.5 | 1.435639 | 3.706803
260 | 2 | 1.885401 | 4.868084
265 | 0.01 | 1343.035182 | 3467.701929
265 | 0.1 | 26.139682 | 67.492368
265 | 0.6 | 1.522330 | 3.930639
265 | 0.9 | 1.174991 | 3.033814
265 | 1 | 1.174991 | 3.033814
265 | 1.1 | 1.122758 | 2.898948
265 | 1.8 | 1.626234 | 4.198918
265 | 10 | 26.099186 | 67.387809
265 | 100 | 1351.272284 | 3488.970034
270 | 1 | 1.087916 | 2.808987
275 | 0.6 | 1.366217 | 3.527557
275 | 0.8 | 1.140173 | 2.943913
275 | 0.9 | 1.035624 | 2.673971
275 | 1.1 | 1.087916 | 2.808987
275 | 1.2 | 1.070489 | 2.763992
275 | 1.8 | 1.470327 | 3.796367
280 | 0.5 | 1.556980 | 4.020105
280 | 0.7 | 1.157584 | 2.988869
280 | 1 | 1.018186 | 2.628945
280 | 1.5 | 1.192394 | 3.078749
280 | 2 | 1.643538 | 4.243597
285 | 0.6 | 1.227190 | 3.168590
285 | 0.9 | 0.983298 | 2.538864
285 | 1.1 | 0.983298 | 2.538864
285 | 1.8 | 1.348852 | 3.482721
290 | 1 | 0.896009 | 2.313485
295 | 0.6 | 1.105339 | 2.853972
295 | 0.9 | 0.843589 | 2.178137
295 | 1.1 | 0.843589 | 2.178137
295 | 1.8 | 1.174991 | 3.033814
300 | 0.5 | 1.157584 | 2.988869
300 | 0.7 | 0.843589 | 2.178137
300 | 0.8 | 0.773640 | 1.997530
300 | 1 | 0.756143 | 1.952353
300 | 1.2 | 0.773640 | 1.997530
300 | 1.5 | 0.843589 | 2.178137
300 | 2 | 1.157584 | 2.988869
