mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_29,133940.0,176.94,ok,0,
250,run_30,92095.0,127.39,ok,0,
300,run_31,64633.0,81.119,ok,0,
350,run_32,46284.0,69.206,ok,0,
400,run_33,33808.0,44.508,ok,0,
450,run_34,25087.0,22.613,ok,0,
500,run_35,18962.0,20.191,ok,0,
550,run_36,14467.0,14.976,ok,0,
600,run_37,11196.0,15.882,ok,0,
650,run_38,8728.4,10.497,ok,0,
700,run_39,6904.7,8.6636,ok,0,
750,run_40,5497.5,6.9704,ok,0,
800,run_41,4399.0,6.0728,ok,0,
850,run_42,3553.6,4.5441,ok,0,
900,run_43,2895.1,3.0703,ok,0,
950,run_44,2370.3,3.5192,ok,0,
1000,run_45,1947.6,2.4666,ok,0,
1050,run_46,1612.3,1.1999,ok,0,
1100,run_47,1339.5,1.867,ok,0,
1150,run_48,1120.2,1.2575,ok,0,
1200,run_49,937.56,1.2054,ok,0,
1250,run_50,787.73,1.0497,ok,0,
1300,run_51,666.35,0.70161,ok,0,
1350,run_52,564.02,0.67855,ok,0,
1400,run_53,479.75,0.56324,ok,0,
